公历日期,星期,农历年,农历月,农历日,年干支,属相,闰月,月干支,日干支,节气,节气时间,公历节日,农历节日,特殊节日,数九数伏
2021/1/1,星期五,2020,冬月,十八,庚子,鼠,4,戊子,己酉,,,元旦,,,二九第三天
2021/1/2,星期六,2020,冬月,十九,庚子,鼠,4,戊子,庚戌,,,,,,二九第四天
2021/1/3,星期日,2020,冬月,二十,庚子,鼠,4,戊子,辛亥,,,,,,二九第五天
2021/1/4,星期一,2020,冬月,廿一,庚子,鼠,4,戊子,壬子,,,,,,二九第六天
2021/1/5,星期二,2020,冬月,廿二,庚子,鼠,4,己丑,癸丑,小寒,11:23:17,,,,二九第七天
2021/1/6,星期三,2020,冬月,廿三,庚子,鼠,4,己丑,甲寅,,,,,,二九第八天
2021/1/7,星期四,2020,冬月,廿四,庚子,鼠,4,己丑,乙卯,,,,,,二九第九天
2021/1/8,星期五,2020,冬月,廿五,庚子,鼠,4,己丑,丙辰,,,,,,三九第一天
2021/1/9,星期六,2020,冬月,廿六,庚子,鼠,4,己丑,丁巳,,,,,,三九第二天
2021/1/10,星期日,2020,冬月,廿七,庚子,鼠,4,己丑,戊午,,,,,,三九第三天
2021/1/11,星期一,2020,冬月,廿八,庚子,鼠,4,己丑,己未,,,,,,三九第四天
2021/1/12,星期二,2020,冬月,廿九,庚子,鼠,4,己丑,庚申,,,,,,三九第五天
2021/1/13,星期三,2020,腊月,初一,庚子,鼠,4,己丑,辛酉,,,,,,三九第六天
2021/1/14,星期四,2020,腊月,初二,庚子,鼠,4,己丑,壬戌,,,,,,三九第七天
2021/1/15,星期五,2020,腊月,初三,庚子,鼠,4,己丑,癸亥,,,,,,三九第八天
2021/1/16,星期六,2020,腊月,初四,庚子,鼠,4,己丑,甲子,,,,,,三九第九天
2021/1/17,星期日,2020,腊月,初五,庚子,鼠,4,己丑,乙丑,,,,,,四九第一天
2021/1/18,星期一,2020,腊月,初六,庚子,鼠,4,己丑,丙寅,,,,,,四九第二天
2021/1/19,星期二,2020,腊月,初七,庚子,鼠,4,己丑,丁卯,,,,,,四九第三天
2021/1/20,星期三,2020,腊月,初八,庚子,鼠,4,己丑,戊辰,大寒,4:39:42,,腊八节,,四九第四天
2021/1/21,星期四,2020,腊月,初九,庚子,鼠,4,己丑,己巳,,,,,,四九第五天
2021/1/22,星期五,2020,腊月,初十 ,庚子,鼠,4,己丑,庚午,,,,,,四九第六天
2021/1/23,星期六,2020,腊月,十一,庚子,鼠,4,己丑,辛未,,,,,,四九第七天
2021/1/24,星期日,2020,腊月,十二,庚子,鼠,4,己丑,壬申,,,,,,四九第八天
2021/1/25,星期一,2020,腊月,十三,庚子,鼠,4,己丑,癸酉,,,,,,四九第九天
2021/1/26,星期二,2020,腊月,十四,庚子,鼠,4,己丑,甲戌,,,,,,五九第一天
2021/1/27,星期三,2020,腊月,十五,庚子,鼠,4,己丑,乙亥,,,,,,五九第二天
2021/1/28,星期四,2020,腊月,十六,庚子,鼠,4,己丑,丙子,,,,,,五九第三天
2021/1/29,星期五,2020,腊月,十七,庚子,鼠,4,己丑,丁丑,,,,,,五九第四天
2021/1/30,星期六,2020,腊月,十八,庚子,鼠,4,己丑,戊寅,,,,,,五九第五天
2021/1/31,星期日,2020,腊月,十九,庚子,鼠,4,己丑,己卯,,,,,,五九第六天
2021/2/1,星期一,2020,腊月,二十,庚子,鼠,4,己丑,庚辰,,,,,,五九第七天
2021/2/2,星期二,2020,腊月,廿一,庚子,鼠,4,己丑,辛巳,,,,,,五九第八天
2021/2/3,星期三,2020,腊月,廿二,庚子,鼠,4,戊寅,壬午,立春,22:58:39,,,,五九第九天
2021/2/4,星期四,2020,腊月,廿三,庚子,鼠,4,戊寅,癸未,,,,小年,,六九第一天
2021/2/5,星期五,2020,腊月,廿四,庚子,鼠,4,戊寅,甲申,,,,,,六九第二天
2021/2/6,星期六,2020,腊月,廿五,庚子,鼠,4,戊寅,乙酉,,,,,,六九第三天
2021/2/7,星期日,2020,腊月,廿六,庚子,鼠,4,戊寅,丙戌,,,,,,六九第四天
2021/2/8,星期一,2020,腊月,廿七,庚子,鼠,4,戊寅,丁亥,,,,,,六九第五天
2021/2/9,星期二,2020,腊月,廿八,庚子,鼠,4,戊寅,戊子,,,,,,六九第六天
2021/2/10,星期三,2020,腊月,廿九,庚子,鼠,4,戊寅,己丑,,,,,,六九第七天
2021/2/11,星期四,2020,腊月,三十,庚子,鼠,4,戊寅,庚寅,,,,除夕,,六九第八天
2021/2/12,星期五,2021,正月,初一,辛丑,牛,0,庚寅,辛卯,,,,春节,,六九第九天
2021/2/13,星期六,2021,正月,初二,辛丑,牛,0,庚寅,壬辰,,,,,,七九第一天
2021/2/14,星期日,2021,正月,初三,辛丑,牛,0,庚寅,癸巳,,,情人节,,,七九第二天
2021/2/15,星期一,2021,正月,初四,辛丑,牛,0,庚寅,甲午,,,,,,七九第三天
2021/2/16,星期二,2021,正月,初五,辛丑,牛,0,庚寅,乙未,,,,,,七九第四天
2021/2/17,星期三,2021,正月,初六,辛丑,牛,0,庚寅,丙申,,,,,,七九第五天
2021/2/18,星期四,2021,正月,初七,辛丑,牛,0,庚寅,丁酉,雨水,18:43:49,,,,七九第六天
2021/2/19,星期五,2021,正月,初八,辛丑,牛,0,庚寅,戊戌,,,,,,七九第七天
2021/2/20,星期六,2021,正月,初九,辛丑,牛,0,庚寅,己亥,,,,,,七九第八天
2021/2/21,星期日,2021,正月,初十 ,辛丑,牛,0,庚寅,庚子,,,,,,七九第九天
2021/2/22,星期一,2021,正月,十一,辛丑,牛,0,庚寅,辛丑,,,,,,八九第一天
2021/2/23,星期二,2021,正月,十二,辛丑,牛,0,庚寅,壬寅,,,,,,八九第二天
2021/2/24,星期三,2021,正月,十三,辛丑,牛,0,庚寅,癸卯,,,,,,八九第三天
2021/2/25,星期四,2021,正月,十四,辛丑,牛,0,庚寅,甲辰,,,,,,八九第四天
2021/2/26,星期五,2021,正月,十五,辛丑,牛,0,庚寅,乙巳,,,,元宵节,,八九第五天
2021/2/27,星期六,2021,正月,十六,辛丑,牛,0,庚寅,丙午,,,,,,八九第六天
2021/2/28,星期日,2021,正月,十七,辛丑,牛,0,庚寅,丁未,,,,,,八九第七天
2021/3/1,星期一,2021,正月,十八,辛丑,牛,0,庚寅,戊申,,,,,,八九第八天
2021/3/2,星期二,2021,正月,十九,辛丑,牛,0,庚寅,己酉,,,,,,八九第九天
2021/3/3,星期三,2021,正月,二十,辛丑,牛,0,庚寅,庚戌,,,,,,九九第一天
2021/3/4,星期四,2021,正月,廿一,辛丑,牛,0,庚寅,辛亥,,,,,,九九第二天
