公历日期,星期,农历年,农历月,农历日,年干支,属相,闰月,月干支,日干支,节气,节气时间,公历节日,农历节日,特殊节日,数九数伏
2020/1/1,星期三,2019,腊月,初七,己亥,猪,0,丙子,癸卯,,,元旦,,,二九第二天
2020/1/2,星期四,2019,腊月,初八,己亥,猪,0,丙子,甲辰,,,,腊八节,,二九第三天
2020/1/3,星期五,2019,腊月,初九,己亥,猪,0,丙子,乙巳,,,,,,二九第四天
2020/1/4,星期六,2019,腊月,初十 ,己亥,猪,0,丙子,丙午,,,,,,二九第五天
2020/1/5,星期日,2019,腊月,十一,己亥,猪,0,丙子,丁未,,,,,,二九第六天
2020/1/6,星期一,2019,腊月,十二,己亥,猪,0,丁丑,戊申,小寒,5:29:59,,,,二九第七天
2020/1/7,星期二,2019,腊月,十三,己亥,猪,0,丁丑,己酉,,,,,,二九第八天
2020/1/8,星期三,2019,腊月,十四,己亥,猪,0,丁丑,庚戌,,,,,,二九第九天
2020/1/9,星期四,2019,腊月,十五,己亥,猪,0,丁丑,辛亥,,,,,,三九第一天
2020/1/10,星期五,2019,腊月,十六,己亥,猪,0,丁丑,壬子,,,,,,三九第二天
2020/1/11,星期六,2019,腊月,十七,己亥,猪,0,丁丑,癸丑,,,,,,三九第三天
2020/1/12,星期日,2019,腊月,十八,己亥,猪,0,丁丑,甲寅,,,,,,三九第四天
2020/1/13,星期一,2019,腊月,十九,己亥,猪,0,丁丑,乙卯,,,,,,三九第五天
2020/1/14,星期二,2019,腊月,二十,己亥,猪,0,丁丑,丙辰,,,,,,三九第六天
2020/1/15,星期三,2019,腊月,廿一,己亥,猪,0,丁丑,丁巳,,,,,,三九第七天
2020/1/16,星期四,2019,腊月,廿二,己亥,猪,0,丁丑,戊午,,,,,,三九第八天
2020/1/17,星期五,2019,腊月,廿三,己亥,猪,0,丁丑,己未,,,,小年,,三九第九天
2020/1/18,星期六,2019,腊月,廿四,己亥,猪,0,丁丑,庚申,,,,,,四九第一天
2020/1/19,星期日,2019,腊月,廿五,己亥,猪,0,丁丑,辛酉,,,,,,四九第二天
2020/1/20,星期一,2019,腊月,廿六,己亥,猪,0,丁丑,壬戌,大寒,22:54:33,,,,四九第三天
2020/1/21,星期二,2019,腊月,廿七,己亥,猪,0,丁丑,癸亥,,,,,,四九第四天
2020/1/22,星期三,2019,腊月,廿八,己亥,猪,0,丁丑,甲子,,,,,,四九第五天
2020/1/23,星期四,2019,腊月,廿九,己亥,猪,0,丁丑,乙丑,,,,,,四九第六天
2020/1/24,星期五,2019,腊月,三十,己亥,猪,0,丁丑,丙寅,,,,除夕,,四九第七天
2020/1/25,星期六,2020,正月,初一,庚子,鼠,0,己丑,丁卯,,,,春节,,四九第八天
2020/1/26,星期日,2020,正月,初二,庚子,鼠,4,己丑,戊辰,,,,,,四九第九天
2020/1/27,星期一,2020,正月,初三,庚子,鼠,4,己丑,己巳,,,,,,五九第一天
2020/1/28,星期二,2020,正月,初四,庚子,鼠,4,己丑,庚午,,,,,,五九第二天
2020/1/29,星期三,2020,正月,初五,庚子,鼠,4,己丑,辛未,,,,,,五九第三天
2020/1/30,星期四,2020,正月,初六,庚子,鼠,4,己丑,壬申,,,,,,五九第四天
2020/1/31,星期五,2020,正月,初七,庚子,鼠,4,己丑,癸酉,,,,,,五九第五天
2020/2/1,星期六,2020,正月,初八,庚子,鼠,4,己丑,甲戌,,,,,,五九第六天
2020/2/2,星期日,2020,正月,初九,庚子,鼠,4,己丑,乙亥,,,,,,五九第七天
2020/2/3,星期一,2020,正月,初十 ,庚子,鼠,4,己丑,丙子,,,,,,五九第八天
2020/2/4,星期二,2020,正月,十一,庚子,鼠,4,戊寅,丁丑,立春,17:03:12,,,,五九第九天
2020/2/5,星期三,2020,正月,十二,庚子,鼠,4,戊寅,戊寅,,,,,,六九第一天
2020/2/6,星期四,2020,正月,十三,庚子,鼠,4,戊寅,己卯,,,,,,六九第二天
2020/2/7,星期五,2020,正月,十四,庚子,鼠,4,戊寅,庚辰,,,,,,六九第三天
2020/2/8,星期六,2020,正月,十五,庚子,鼠,4,戊寅,辛巳,,,,元宵节,,六九第四天
2020/2/9,星期日,2020,正月,十六,庚子,鼠,4,戊寅,壬午,,,,,,六九第五天
2020/2/10,星期一,2020,正月,十七,庚子,鼠,4,戊寅,癸未,,,,,,六九第六天
2020/2/11,星期二,2020,正月,十八,庚子,鼠,4,戊寅,甲申,,,,,,六九第七天
2020/2/12,星期三,2020,正月,十九,庚子,鼠,4,戊寅,乙酉,,,,,,六九第八天
2020/2/13,星期四,2020,正月,二十,庚子,鼠,4,戊寅,丙戌,,,,,,六九第九天
2020/2/14,星期五,2020,正月,廿一,庚子,鼠,4,戊寅,丁亥,,,情人节,,,七九第一天
2020/2/15,星期六,2020,正月,廿二,庚子,鼠,4,戊寅,戊子,,,,,,七九第二天
2020/2/16,星期日,2020,正月,廿三,庚子,鼠,4,戊寅,己丑,,,,,,七九第三天
2020/2/17,星期一,2020,正月,廿四,庚子,鼠,4,戊寅,庚寅,,,,,,七九第四天
2020/2/18,星期二,2020,正月,廿五,庚子,鼠,4,戊寅,辛卯,,,,,,七九第五天
2020/2/19,星期三,2020,正月,廿六,庚子,鼠,4,戊寅,壬辰,雨水,12:56:53,,,,七九第六天
2020/2/20,星期四,2020,正月,廿七,庚子,鼠,4,戊寅,癸巳,,,,,,七九第七天
2020/2/21,星期五,2020,正月,廿八,庚子,鼠,4,戊寅,甲午,,,,,,七九第八天
2020/2/22,星期六,2020,正月,廿九,庚子,鼠,4,戊寅,乙未,,,,,,七九第九天
2020/2/23,星期日,2020,二月,初一,庚子,鼠,4,戊寅,丙申,,,,,,八九第一天
2020/2/24,星期一,2020,二月,初二,庚子,鼠,4,戊寅,丁酉,,,,龙抬头,,八九第二天
2020/2/25,星期二,2020,二月,初三,庚子,鼠,4,戊寅,戊戌,,,,,,八九第三天
2020/2/26,星期三,2020,二月,初四,庚子,鼠,4,戊寅,己亥,,,,,,八九第四天
2020/2/27,星期四,2020,二月,初五,庚子,鼠,4,戊寅,庚子,,,,,,八九第五天
2020/2/28,星期五,2020,二月,初六,庚子,鼠,4,戊寅,辛丑,,,,,,八九第六天
2020/2/29,星期六,2020,二月,初七,庚子,鼠,4,戊寅,壬寅,,,,,,八九第七天
2020/3/1,星期日,2020,二月,初八,庚子,鼠,4,戊寅,癸卯,,,,,,八九第八天
2020/3/2,星期一,2020,二月,初九,庚子,鼠,4,戊寅,甲辰,,,,,,八九第九天
2020/3/3,星期二,2020,二月,初十 ,庚子,鼠,4,戊寅,乙巳,,,,,,九九第一天
2020/3/4,星期三,2020,二月,十一,庚子,鼠,4,戊寅,丙午,,,,,,九九第二天
2020/3/5,星期四,2020,二月,十二,庚子,鼠,4,己卯,丁未,惊蛰,10:56:44,,,,九九第三天
2020/3/6,星期五,2020,二月,十三,庚子,鼠,4,己卯,戊申,,,,,,九九第四天
2020/3/7,星期六,2020,二月,十四,庚子,鼠,4,己卯,己酉,,,,,,九九第五天
2020/3/8,星期日,2020,二月,十五,庚子,鼠,4,己卯,庚戌,,,妇女节,,,九九第六天
2020/3/9,星期一,2020,二月,十六,庚子,鼠,4,己卯,辛亥,,,,,,九九第七天
2020/3/10,星期二,2020,二月,十七,庚子,鼠,4,己卯,壬子,,,,,,九九第八天
2020/3/11,星期三,2020,二月,十八,庚子,鼠,4,己卯,癸丑,,,,,,九九第九天
2020/3/12,星期四,2020,二月,十九,庚子,鼠,4,己卯,甲寅,,,植树节,,,
2020/3/13,星期五,2020,二月,二十,庚子,鼠,4,己卯,乙卯,,,,,,
2020/3/14,星期六,2020,二月,廿一,庚子,鼠,4,己卯,丙辰,,,,,,
2020/3/15,星期日,2020,二月,廿二,庚子,鼠,4,己卯,丁巳,,,,,,
2020/3/16,星期一,2020,二月,廿三,庚子,鼠,4,己卯,戊午,,,,,,
2020/3/17,星期二,2020,二月,廿四,庚子,鼠,4,己卯,己未,,,,,,
2020/3/18,星期三,2020,二月,廿五,庚子,鼠,4,己卯,庚申,,,,,,
2020/3/19,星期四,2020,二月,廿六,庚子,鼠,4,己卯,辛酉,,,,,,
2020/3/20,星期五,2020,二月,廿七,庚子,鼠,4,己卯,壬戌,春分,11:49:29,,,,
2020/3/21,星期六,2020,二月,廿八,庚子,鼠,4,己卯,癸亥,,,,,,
2020/3/22,星期日,2020,二月,廿九,庚子,鼠,4,己卯,甲子,,,,,,
2020/3/23,星期一,2020,二月,三十,庚子,鼠,4,己卯,乙丑,,,,,,
2020/3/24,星期二,2020,三月,初一,庚子,鼠,4,己卯,丙寅,,,,,,
2020/3/25,星期三,2020,三月,初二,庚子,鼠,4,己卯,丁卯,,,,,,
2020/3/26,星期四,2020,三月,初三,庚子,鼠,4,己卯,戊辰,,,,,,
2020/3/27,星期五,2020,三月,初四,庚子,鼠,4,己卯,己巳,,,,,,
2020/3/28,星期六,2020,三月,初五,庚子,鼠,4,己卯,庚午,,,,,,
2020/3/29,星期日,2020,三月,初六,庚子,鼠,4,己卯,辛未,,,,,,
2020/3/30,星期一,2020,三月,初七,庚子,鼠,4,己卯,壬申,,,,,,
2020/3/31,星期二,2020,三月,初八,庚子,鼠,4,己卯,癸酉,,,,,,
2020/4/1,星期三,2020,三月,初九,庚子,鼠,4,己卯,甲戌,,,愚人节,,,
2020/4/2,星期四,2020,三月,初十 ,庚子,鼠,4,己卯,乙亥,,,,,,
2020/4/3,星期五,2020,三月,十一,庚子,鼠,4,己卯,丙子,,,,,,
2020/4/4,星期六,2020,三月,十二,庚子,鼠,4,庚辰,丁丑,清明,15:38:02,,,,
2020/4/5,星期日,2020,三月,十三,庚子,鼠,4,庚辰,戊寅,,,,,,
2020/4/6,星期一,2020,三月,十四,庚子,鼠,4,庚辰,己卯,,,,,,
2020/4/7,星期二,2020,三月,十五,庚子,鼠,4,庚辰,庚辰,,,,,,
