公历日期,星期,农历年,农历月,农历日,年干支,属相,闰月,月干支,日干支,节气,节气时间,公历节日,农历节日,特殊节日,数九数伏
2022/1/1,星期六,2021,冬月,廿九,辛丑,牛,0,庚子,甲寅,,,元旦,,,二九第三天
2022/1/2,星期日,2021,冬月,三十,辛丑,牛,0,庚子,乙卯,,,,,,二九第四天
2022/1/3,星期一,2021,腊月,初一,辛丑,牛,0,庚子,丙辰,,,,,,二九第五天
2022/1/4,星期二,2021,腊月,初二,辛丑,牛,0,庚子,丁巳,,,,,,二九第六天
2022/1/5,星期三,2021,腊月,初三,辛丑,牛,0,辛丑,戊午,小寒,17:13:54,,,,二九第七天
2022/1/6,星期四,2021,腊月,初四,辛丑,牛,0,辛丑,己未,,,,,,二九第八天
2022/1/7,星期五,2021,腊月,初五,辛丑,牛,0,辛丑,庚申,,,,,,二九第九天
2022/1/8,星期六,2021,腊月,初六,辛丑,牛,0,辛丑,辛酉,,,,,,三九第一天
2022/1/9,星期日,2021,腊月,初七,辛丑,牛,0,辛丑,壬戌,,,,,,三九第二天
2022/1/10,星期一,2021,腊月,初八,辛丑,牛,0,辛丑,癸亥,,,,腊八节,,三九第三天
2022/1/11,星期二,2021,腊月,初九,辛丑,牛,0,辛丑,甲子,,,,,,三九第四天
2022/1/12,星期三,2021,腊月,初十 ,辛丑,牛,0,辛丑,乙丑,,,,,,三九第五天
2022/1/13,星期四,2021,腊月,十一,辛丑,牛,0,辛丑,丙寅,,,,,,三九第六天
2022/1/14,星期五,2021,腊月,十二,辛丑,牛,0,辛丑,丁卯,,,,,,三九第七天
2022/1/15,星期六,2021,腊月,十三,辛丑,牛,0,辛丑,戊辰,,,,,,三九第八天
2022/1/16,星期日,2021,腊月,十四,辛丑,牛,0,辛丑,己巳,,,,,,三九第九天
2022/1/17,星期一,2021,腊月,十五,辛丑,牛,0,辛丑,庚午,,,,,,四九第一天
2022/1/18,星期二,2021,腊月,十六,辛丑,牛,0,辛丑,辛未,,,,,,四九第二天
2022/1/19,星期三,2021,腊月,十七,辛丑,牛,0,辛丑,壬申,,,,,,四九第三天
2022/1/20,星期四,2021,腊月,十八,辛丑,牛,0,辛丑,癸酉,大寒,10:38:56,,,,四九第四天
2022/1/21,星期五,2021,腊月,十九,辛丑,牛,0,辛丑,甲戌,,,,,,四九第五天
2022/1/22,星期六,2021,腊月,二十,辛丑,牛,0,辛丑,乙亥,,,,,,四九第六天
2022/1/23,星期日,2021,腊月,廿一,辛丑,牛,0,辛丑,丙子,,,,,,四九第七天
2022/1/24,星期一,2021,腊月,廿二,辛丑,牛,0,辛丑,丁丑,,,,,,四九第八天
2022/1/25,星期二,2021,腊月,廿三,辛丑,牛,0,辛丑,戊寅,,,,小年,,四九第九天
2022/1/26,星期三,2021,腊月,廿四,辛丑,牛,0,辛丑,己卯,,,,,,五九第一天
2022/1/27,星期四,2021,腊月,廿五,辛丑,牛,0,辛丑,庚辰,,,,,,五九第二天
2022/1/28,星期五,2021,腊月,廿六,辛丑,牛,0,辛丑,辛巳,,,,,,五九第三天
2022/1/29,星期六,2021,腊月,廿七,辛丑,牛,0,辛丑,壬午,,,,,,五九第四天
2022/1/30,星期日,2021,腊月,廿八,辛丑,牛,0,辛丑,癸未,,,,,,五九第五天
2022/1/31,星期一,2021,腊月,廿九,辛丑,牛,0,辛丑,甲申,,,,除夕,,五九第六天
2022/2/1,星期二,2022,正月,初一,壬寅,虎,0,癸丑,乙酉,,,,春节,,五九第七天
2022/2/2,星期三,2022,正月,初二,壬寅,虎,0,癸丑,丙戌,,,,,,五九第八天
2022/2/3,星期四,2022,正月,初三,壬寅,虎,0,癸丑,丁亥,,,,,,五九第九天
2022/2/4,星期五,2022,正月,初四,壬寅,虎,0,壬寅,戊子,立春,4:50:36,,,,六九第一天
2022/2/5,星期六,2022,正月,初五,壬寅,虎,0,壬寅,己丑,,,,,,六九第二天
2022/2/6,星期日,2022,正月,初六,壬寅,虎,0,壬寅,庚寅,,,,,,六九第三天
2022/2/7,星期一,2022,正月,初七,壬寅,虎,0,壬寅,辛卯,,,,,,六九第四天
2022/2/8,星期二,2022,正月,初八,壬寅,虎,0,壬寅,壬辰,,,,,,六九第五天
2022/2/9,星期三,2022,正月,初九,壬寅,虎,0,壬寅,癸巳,,,,,,六九第六天
